id,title,description,image_url,trailer_url,start_to_end_time,rating,release_at,created_at,updated_at
28,Bhuj: The Pride of India,"Running against the clock, IAF Squadron Leader Vijay Karnik created history with determination and his love for the country. A daredevil story of guts and glory.",,,0 days 01:53:00,,2021-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
29,Raid,Fearless income tax officer Amay Patnaik carries out a risky raid at the mansion of the most powerful man in Lucknow. Inspired by real-life events.,,,0 days 01:55:00,,2018-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
30,Veera Simha Reddy,Jai's reunion with his long-lost influential father Veera gets chaotic when the latter's past returns to haunt him. How will Jai save Veera from his ill-fate?,,,0 days 02:49:00,,2023-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
31,Bhoot Police,"Two brothers Vibhooti and Chiraunji have ‘fought’ their share of ghosts. However, a new case forces them to rethink their own abilities and beliefs.",,,0 days 02:08:00,,2021-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
32,MS Dhoni: The Untold Story,"A tell-all tale about the life and times of Indian cricketer Mahendra Singh Dhoni, mapping his journey from a ticket collector to a celebrated sportsman.",,,0 days 02:58:00,,2016-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
33,Love Songs,An aspiring lawyer learns shocking secrets about his family and parents relationship from his grandmother.,,,0 days 01:26:00,,2008-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
34,Total Dhamaal,"When 50 million bucks are at stake, six eccentric people will do whatever it takes, including braving the wild. Who will win this race against time?",,,0 days 02:07:00,,2019-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
35,The Past,"When a budding writer moves to a hill station to write her new book, little does she know that an evil plot is about to unfold and take her into the past.",,,0 days 01:44:00,,2018-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
36,Jamai Badal,"Good-for-nothing Krish falls in love with Barsha, but she puts forth a difficult condition. What ensues next is total chaos, confusion and comedy.",,,0 days 02:15:00,,2019-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
37,India’s Most Wanted,"Five ordinary men, one global terrorist, witness India's biggest manhunt operation in this film inspired by true events.",,,0 days 02:01:00,,2019-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
38,The Big Bull,"During the late '80s, Hemant Shah, the man with the Midas touch, pulled off the biggest hustle that shook India's financial fabric. Inspired by true events.",,,0 days 02:33:00,,2021-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
39,Khuda Haafiz,A newly married couple's life falls in jeopardy when his wife goes missing under mysterious circumstances.,,,0 days 02:13:00,,2020-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
40,Sarsenapati Hambirrao,"In a conflict-torn era, the Maratha commander-in-chief Hansaji Mohite braves against the Mughals under the leadership of Chhatrapati Shivaji Maharaj.",,,0 days 02:31:00,,2022-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
41,Mission Mangal,Based on the true story of India's finest scientists who rose above hardships and failures to make us the only country to reach Mars in its first attempt.,,,0 days 02:10:00,,2019-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
42,Hate Story 2,"Hell hath no fury like a woman wronged! After witnessing her lover die, Sonika goes on a killing spree to avenge him.",,,0 days 02:02:00,,2014-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
43,Junglee,"Back in his hometown after years, Raj befriends Bhola, an elephant. As time passes, he discovers a deep-rooted poaching scandal, which changes his life forever.",,,0 days 01:54:00,,2019-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
44,Jolly LLB 2,"A small-time lawyer tricks an innocent woman to make it big. However, a life-changing incident leaves him fighting an earnest battle for justice.",,,0 days 02:11:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
45,Arundhati,"A lookalike of warrior queen Jejamma takes birth as Arundhati in the modern era. Unaware of the truth, Arundhati must battle a revenge-seeking foe to survive.",,,0 days 02:16:00,,2014-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
46,Baby,"Post 26/11 Mumbai attacks, a special intelligence task force will stop at nothing to foil another such assault on the Indian soil.",,,0 days 02:33:00,,2015-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
47,Lootcase,What will you do if you find a bag full of cash? Nandan Kumar faces a similar dilemma when a bag triggers a chain of chaos in his life. Kya iss bag mein kuch kaala hai?,,,0 days 02:11:00,,2020-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
48,Hate Story 3,"Climbing up the success ladder, Aditya, a businessman makes many enemies. Now, one of them is back to seek revenge.",,,0 days 01:53:00,,2015-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
49,Badhaai Ho,Getting a new sibling at 25 is the last thing Nakul expected. Will he ever come to terms with the embarrassing 'good news' of his parents being pregnant?,,,0 days 02:03:00,,2018-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
50,Bajrangi Bhaijaan,"A simple guy, Pawan Kumar Chaturvedi, who is a Hanuman bhakt takes it upon himself to help a lost; mute girl, reach her home in Pakistan!",,,0 days 02:32:00,,2015-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
51,Kaun Pravin Tambe?,"Relentless effort can make an underdog rise to the top, and cricketer Pravin Tambe's extraordinary journey proves why age is just a number.",,,0 days 02:13:00,,2022-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
52,Freddy,"Introverted and awkward Dr Freddy Ginwala desperately searches for a soulmate. When he finally finds her, the relationship becomes as painful as a root canal.",,,0 days 02:03:00,,2022-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
53,De De Pyaar De,"50-year-old Ashish has fallen in love with Ayesha, who is half his age. Their romance turns into a comedy, when he takes her to meet his parents and ex-wife.",,,0 days 02:14:00,,2019-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
54,Half Ticket,"Tempted to taste a slice of pizza, two young brothers from a slum pull out all the stops. And this journey makes them learn a thing or two about life.",,,0 days 01:49:00,,2016-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
55,Kishmish,"Romance blooms between an artistically inclined Tintin and a free-spirited Rohini. But as they plan to get married, a never-ending loop of problems arises.",,,0 days 02:15:00,,2022-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
56,Bheeshma Parvam,"In the Anjootti family, not even a leaf moves without Michael's will. When rebellious youngsters start revolting, how will Michael hold his ground?",,,0 days 02:22:00,,2022-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
57,Baaghi 2,"A tough army officer searches for his ex-lover's child, who is kidnapped under mysterious circumstances. However, his quest is not easy.",,,0 days 02:14:00,,2018-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
58,Bala,"Balmukund Shukla's pride lies in his hair, but premature baldness robs him of more than just his looks. With love at stake, will he have a 'hairy'-tale ending?",,,0 days 02:13:00,,2019-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
59,Arjun Reddy,A short-tempered yet brilliant young medical surgeon immerses himself in drugs and alcohol when his lady-love is forced to marry someone else.,,,0 days 02:42:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
60,Good Luck Jerry,"In dire need of money, Jerry gets drawn into the dangerous world of drug trafficking. Things go awry when she decides to quit.",,,0 days 01:58:00,,2022-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
61,Bhool Bhulaiyaa,"Siddharth and Avni’s life changes when they move into his ancestral home. In this maze of superstitions, how will they find their way?",,,0 days 02:28:00,,2007-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
62,Vikrant Rona,"When a series of mysterious events stirs pandemonium in a village, an eccentric cop Vikrant Rona sets out to solve the case wherein everyone is under the radar.",,,0 days 02:25:00,,2022-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
63,Girlfriend,"Good-for-nothing Uttam falls in love with scholar Suchitra. However, to win her, he must prove his worth to Suchitra's father.",,,0 days 02:03:00,,2018-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
64,Jolly LLB,"Jolly Tyagi, a small-town lawyer, accepts a widely publicised hit-and-run case against a celebrity lawyer, Tejinder Rajpal. How will the truth prevail?",,,0 days 02:03:00,,2013-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
