id,title,description,image_url,trailer_url,start_to_end_time,rating,release_at,created_at,updated_at
120,Kick,"Devi Lal Singh aka Devil, a thief, finds life dull without a kick! And he gets a kick when a psychiatrist and a police officer cross paths with him.",,,0 days 02:20:00,,2014-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
121,Ranga Patanga,"When Jumman's beloved oxen goes missing, he decides to search them no matter what. However, on his quest to find them, he lands up in a media circus.",,,0 days 01:39:00,,2016-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
122,Santrash,"Shubhankar is on a quest of a man, who can help him avenge the murder of his brother at the hands of a corrupt minister.",,,0 days 02:17:00,,2003-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
123,Chekka Chivantha Vaanam,"When an attempt is made on the life of a reigning gangster, his three sons take it upon themselves to hunt the culprit, all amid a succession battle.",,,0 days 02:16:00,,2018-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
124,Seetimaarr,"Boiling the ocean, Karthi's team manages to enter the kabaddi nationals for women where he bumps into Jwala, an opposing team's coach. Yet another battle begins.",,,0 days 02:16:00,,2021-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
125,Housefull 3,"With superstition plaguing his mind, a Gujarati businessman doesn't want his three daughters to get married. Who will win over this overprotective father?",,,0 days 02:08:00,,2016-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
126,Little Krishna - The Darling of Vrindavan,Follow the story of Lord Krishna's birth and his naughty childhood adventures in Vrindavan.,,,0 days 01:30:00,,2009-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
127,Maatr,A traumatised Vidya seeks revenge after her teenage daughter is gang-raped and murdered. She sets out to punish the perpetrators and get justice for her child.,,,0 days 01:42:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
128,Jigarbaaz,A cop and his two subordinates are on a mission to hunt down a psychotic serial killer. What happens when the clues lead them to a haunting secret.,,,0 days 01:53:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
129,Thuppakki,An army captain visits Mumbai to find a bride. His plans change after an explosion that sets him off on a mission to disable a terrorist cell in the city.,,,0 days 02:42:00,,2012-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
130,Jatt & Juliet,"Stark opposites, Fateh Singh and Pooja reach Canada with dreams in their eyes. They cross paths and sparks fly. However, life has a different plan for them.",,,0 days 02:06:00,,2012-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
131,The Warriorr,"Tormented by the city's medical mafia and its kingpin, Guru, Dr Satya flees the city. However, he returns as a powerful police officer to put an end to Guru.",,,0 days 02:35:00,,2022-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
132,The Return of Abhimanyu,"When money goes missing from Major Kathiravan's account, resulting in a personal tragedy, he decides to track down the hacker behind this.",,,0 days 02:23:00,,2018-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
133,Ghayal Khiladi,"On learning that the company he is employed at is selling adulterated food products, good Samaritan Arivu sets out to fight the unethical practices.",,,0 days 02:19:00,,2018-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
134,Happy Pill,College dropout Siddhartha feels weighed down by his average life. Things take a turn when he claims to have discovered a pill that makes people happy.,,,0 days 01:57:00,,2018-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
135,Helicopter Eela,"An aspiring singer and a single mother, Eela gives up her dream for her son. Years later, this overprotective mom rejoins college with her son.",,,0 days 02:02:00,,2018-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
136,Talvar,"A double murder case of a teenage girl and the family's domestic help shakes the nation. With many suspects and multiple theories, who is the real culprit?",,,0 days 02:07:00,,2015-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
137,Sathuranga Vettai,Conman Gandhi Babu has no qualms about cheating people as he believes that is what politicians do. He is all for money and even betrays his love for it.,,,0 days 02:23:00,,2014-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
138,Bangalore Days,"Three cousins - Divya, Kuttan and Arjun - have always dreamt of living in Bangalore. When they get there, they end up discovering their true selves.",,,0 days 02:44:00,,2014-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
139,Mirchi,A well-wisher from the past comes to Manasa's village and carves a place for himself in people's hearts. But who is he and what is his motive?,,,0 days 02:28:00,,2013-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
140,Inttelligent,"Dharam Tej, a software engineer, is very loyal to his boss, Nandha Kishore. All is fine till a criminal gang kills Nandha and turns Dharam into Dharma Bhai.",,,0 days 01:56:00,,2018-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
141,Sharyat,"Two royal families turn rivals over the right to perform the revered Shiv Puja. As peace becomes a thing of the past, a competition may offer a resolution.",,,0 days 02:02:00,,2011-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
142,Heropanti,"To trace down his runaway daughter and her lover, Chaudhary kidnaps their friend Bablu. Chaos ensues when Bablu falls for Chaudhary’s younger daughter, Dimpy",,,0 days 02:15:00,,2014-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
143,A Gentleman,A tale of mistaken identities where identical-looking Gaurav and Rishi cross paths only to create confusion and chaos in their lives and of those around them.,,,0 days 02:06:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
144,Comali,A happy-go-lucky Ravi meets with an accident that puts him in a coma for 16 years. Hell breaks loose when he wakes up in the 21st century!,,,0 days 02:21:00,,2019-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
145,Mohini,"Vaishnavi and Sandeep's love life takes a spooky turn when Vaishnavi gets possessed by Mohini's spirit, who looks exactly like her. A sinister coincidence?",,,0 days 02:03:00,,2019-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
146,Kee,"Siddharth, a leading hacker leads a happy life. However, things take a drastic turn when he becomes a victim of cyber-bullying.",,,0 days 01:55:00,,2019-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
147,Baba Baby O,"In his 40s, Megh becomes a single father with two children through surrogacy. Things take an interesting turn when he falls in love with Brishti.",,,0 days 02:09:00,,2022-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
148,Janatha Garage,"Satyam, the owner of Janatha Garage, earns a reputation as the saviour of the neighbourhood. His life changes when he meets Anand.",,,0 days 02:30:00,,2016-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
149,Maayavan,"Kumaran, an officer suffering from PTSD is on a serial killer’s trail. He is just about to nab the culprit when he discovers an abnormal truth.",,,0 days 01:57:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
150,E,"While making a documentary on Alzheimer's disease, a man realises that there's more to his subject's inexplicable behaviour - something sinister and terrible.",,,0 days 01:43:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
151,Bharath Ennum Naan,"When circumstances land a young Bharat in the position of the Chief Minister, he has to deal with corruption and enemies while attempting to reform politics.",,,0 days 02:41:00,,2018-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
152,Return of Hanuman,"To help a child in trouble, Lord Hanuman takes the avatar of a human being. However, when the evil asuras attack earth, he has to disclose his true identity.",,,0 days 01:42:00,,2007-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
153,Garam Masala,"Mac, a womaniser, is dating three ladies at the same time. Chaos ensues when Shyam, once Mac’s best friend and now a sworn enemy, decides to disrupt his life.",,,0 days 02:17:00,,2005-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
154,Sammohanam,"Vijay, an illustrator, hates the world of films and the people involved. But, in a twist of fate, he falls for Sameera, an actress. Will he forgo his prejudice?",,,0 days 02:07:00,,2018-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
155,Pisachi,"A loner violinist tries to save an injured girl, but she passes away and starts haunting him instead. Why is she torturing the man who saved her?",,,0 days 01:48:00,,2015-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
156,Pink,"When three single city girls meet a politician's kin and his friends, a night out becomes a nightmare, which then causes a clash of societal norms and justice.",,,0 days 02:10:00,,2016-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
157,Aravindante Athidhikal,"Abandoned as a child near Mookambika Temple, Aravindan does odd jobs at a guest house, keeping everyone happy. However, he secretly desires to meet his mother.",,,0 days 01:55:00,,2018-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
158,Hungama,Three misfits find their lives intertwined with desi millionaire Radheshyam Tiwari in a case of mistaken identities that ignites a comedy of errors.,,,0 days 02:22:00,,2003-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
159,Raja Rani,"John and Regina get married only to please their parents but are unhappy. However, things change when they find out about each other's pasts.",,,0 days 02:36:00,,2013-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
160,A Paying Ghost,"Based on V.P. Kale's novel Badali, a kind-hearted Madhav gives shelter to a family of ghosts who in turn help him overcome his hurdles.",,,0 days 02:00:00,,2015-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
161,Bagh Bandi Khela,"Three stories revolving around three individuals - an undercover spy, a witness to a murder and a criminal defence lawyer. One common thread - crime.",,,0 days 02:27:00,,2018-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
162,Ek Thi Daayan,"Famous magician Bobo is troubled by a vicious spirit from his past. As his hallucinations increase, he discovers the spirit has crawled into his present.",,,0 days 02:05:00,,2013-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
163,Bhoothnath Returns,"Bhoothnath revisits earth, and his after-life changes for good when he meets a brave boy, Akhrot. They team up to fight against Bhau, a corrupt politician.",,,0 days 02:26:00,,2014-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
164,Bol Bachchan,Abbas Ali is forced to hide his real identity when Prithviraj Raghuvanshi offers him a job. But a series of lies soon turns Ali's life a laugh riot.,,,0 days 02:23:00,,2012-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
165,Maestro,"A 'blind' pianist lands in hot water when he witnesses a crime during a private concert. Trapped in a catch-22 situation, Arun is in for an unpleasant ride.",,,0 days 02:15:00,,2021-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
166,Dhruva,"Dhruva, an honest IPS officer is on a challenging mission to destroy Siddharth Abhimanyu, the evil genius behind a huge medical mafia.",,,0 days 02:34:00,,2016-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
167,Nanban,"Venkat and Senthil's life changed after meeting Panchavan, who disappears after graduation. Years later, the two search for their missing buddy thanks to a bet.",,,0 days 03:00:00,,2012-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
168,Theeran,"An honest cop named Theeran pays a heavy price for investigating the case of criminals, who shamelessly commit a crime and escape punishment.",,,0 days 02:21:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
169,Vivegam,"When an honest counter-terrorist agent is suspected to have gone rogue, he embarks upon a revenge mission against the traitors, who once were his friends.",,,0 days 02:11:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
170,Rakht Charitra,"Pratap Ravi, a killer bandit, embarks on a political journey to avenge the deaths in his family. Will he succeed or get caught in the whirlpool of chaos?",,,0 days 01:47:00,,2010-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
171,MCA Middle Class Abbayi,"Young, middle-class boy Nani has to protect his sister-in-law, a transport official from a gangster, who runs an illegal transport business.",,,0 days 01:52:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
172,Santan,An elderly couple feels devastated when their children treat them as a burden. Things change for good when a young man comes to their rescue as a godsend.,,,0 days 02:10:00,,1999-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
173,Ispade Rajavum Idhaya Raniyum,"Gowtham suffers from anger issues and falls in love with Tara, an independent, practical girl. Time forces them to make tough choices. Will they part ways?",,,0 days 02:23:00,,2019-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
174,Nuvvu Naaku Nachav,"Venky, an unemployed youth, heads to Hyderabad to attend a wedding. A brief vacation gradually turns into something more as the soon-to-be bride falls for him.",,,0 days 02:59:00,,2001-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
175,Bhoothnath,School-goer Banku moves into the Nath villa with his parents. His life takes an adventurous turn when he befriends an unfriendly ghost.,,,0 days 02:09:00,,2008-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
176,Hero No. 1,"Much-in-love Rajesh and Meena decide to get married. When her parents object, Rajesh decides to win them over in the quirkiest way possible.",,,0 days 02:13:00,,1997-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
177,Fidaa,"Varun, an NRI medical student, falls in love with Bhanu, a village belle. However, their chalk-and-cheese personalities create obstacles for them.",,,0 days 02:02:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
178,Sata Lota Pan Sagla Khota,"When Jay's Dubai-based uncle stops his monthly allowance, Jay and his friends come up with a plan to make some cash. But is their plan foolproof?",,,0 days 02:12:00,,2015-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
179,1971 Beyond Borders,"On a UN Mission, Colonel Mahadevan befriends a Pakistani commander, who he later discovers has a unique connection with his family. What is it?",,,0 days 01:50:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
180,Premam,"George, a teenager, loves the idea of being in love. This dream seems to be within his reach in his school days and even in his college days, but it fails to materialise. However, all is not lost yet!",,,0 days 02:29:00,,2015-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
181,Jaguar,"To avenge his father's death, a young medical student, Krishna takes law into his own hands. On the road to justice, he falls in love with his classmate.",,,0 days 01:51:00,,2016-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
182,Madras,Kaali and his politically charged friend Anbu get into a heated debate over walls on which to put up party posters. How far will they go to prove their point?,,,0 days 02:22:00,,2014-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
183,Raju Gari Gadhi 3,A loving couple's joy is short-lived when they feel the presence of an unknown spirit in their life. Their adventure begins when they decide to fight back.,,,0 days 01:58:00,,2019-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
184,Son Of Sardaar,"Jassi falls head over heels in love with Sukhmit, only to discover her family is out to finish him over an old family feud. How will love triumph over revenge?",,,0 days 02:09:00,,2012-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
185,Daring Raajakumara,"A dutiful son, a prince in his fathers' eyes, retains his purity of character despite the many challenges thrown his way.",,,0 days 02:04:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
186,Dolly Ki Doli,"Dolly has a lucrative con career - woo unsuspecting men, trap them into marriage and finally rob them off. All is well until a cop decides to spoil the party.",,,0 days 01:33:00,,2015-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
187,Golondaaj,"From a regular boy to becoming the first Indian to open a football club, here's the journey of Nagendra Prasad Sarbadhikari, the Father of Indian Football.",,,0 days 02:23:00,,2021-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
188,Veerey Ki Wedding,"Lovebirds Veer and Geet are soon to get married, however, problems arise when the groom-to-be messes up his first meeting with Geet’s peace-loving father.",,,0 days 02:04:00,,2018-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
189,Gang Leader,Pencil is a budding crime novelist looking for inspiration when he crosses paths with five generations of women who come together with for vengeance.,,,0 days 02:35:00,,2019-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
190,Samhaara,"A visually impaired chef, Srishaila's life takes a turn for the worse when the girl he loves, traps him in a murder case.",,,0 days 02:03:00,,2018-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
191,S/o Satyamurthy,The son of a rich tycoon flies back to India after his father's demise only to fall in love with a beautiful woman. Now he has to impress her father.,,,0 days 02:34:00,,2015-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
192,Khosla Ka Ghosla,A retired middle-class man fails to get his land back from a cunning dealer. His son comes to his rescue with a dramatic plan. - ok,,,0 days 02:04:00,,2006-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
193,Badmaash,"Vijay and Priya are head over heels in love with each other. When a cruel villain enters their life, Vijay has to use all his wits to win his love back.",,,0 days 01:38:00,,2016-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
194,Little Krishna II - The Legendary Warrior,It is about Lord Krishna’s fight against his evil uncle Kansa.,,,0 days 01:30:00,,2009-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
195,Rajathanthiram,"When a conman falls for a woman, he plans a big job to help her get rid of her financial troubles. However, their ploy fails and a cat-and-mouse game ensues.",,,0 days 02:05:00,,2015-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
196,Golmaal: Fun Unlimited,"Spinning a web of lies, four crooks seek shelter in a bungalow owned by a blind couple. But hilarity ensues when they all fall in love with a girl next door.",,,0 days 02:21:00,,2006-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
197,Ziddi,Deva’s life is shattered when the police implicate him in the murder of his brother and sister. Will he be able to prove his innocence?,,,0 days 02:29:00,,1997-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
198,Ticha Umbartha,"Based on a play by Jayant Pawar named Maza Ghar, Vibha strives to make her place in the society after being wrongly rejected by her husband.",,,0 days 01:57:00,,2016-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
199,Himmat,"An ex-military officer turned vigilante, Gana falls in love with Hansita, who agrees to marry him only if he gives up his violent ways. Will he?",,,0 days 02:12:00,,2016-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
200,Saamy 2,"When Aarusaamy's son finds out the truth about his parents' murder, he decides to seek revenge from Ravana Pichai and put an end to his criminal activities.",,,0 days 02:28:00,,2018-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
201,RX100,"Shiva falls in love with Indu, the daughter of a local politician. When circumstances separate the lovers, Shiva discovers Indu's ulterior motive.",,,0 days 01:58:00,,2018-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
202,Ohm Shanthi Oshana,"A school-going tomboy falls in love with a farmer after he saves her from goons. When he turns her down, she takes it up as a challenge to win his heart.",,,0 days 02:04:00,,2014-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
203,Shootout At Lokhandwala,"With 1,755 rounds fired in 6 hours, ACP Shamsher Khan and his team eliminated Mumbai’s dreaded gangster Maya Dolas and his gang. Based on true rumours.",,,0 days 01:50:00,,2007-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
204,Humshakals,"Close friends Ashok, Kumar and their Mamaji’s life turns into a total chos when two lookalikes of each of the three land in their lives.",,,0 days 02:22:00,,2014-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
205,Vishwaroopam 2,"It's a battle of brain, brawn and emotions for RAW agent Wisam Ahmad Kashmiri who struggles between eliminating his nemesis and maintaining a personal life.",,,0 days 02:15:00,,2018-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
206,Phir Se Mafiaraaj,"A young boy witnesses his mother being killed. Years later, he encounters the killer while rescuing a girl from forced prostitution. Will he avenge her death?",,,0 days 01:59:00,,2015-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
207,10 Ka Dum,"A local don hires a driver, Vikram, to escort a young woman to Daksha Bhai's house. A game of cat and mouse begins when Vikram realises their true motive.",,,0 days 02:14:00,,2015-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
208,Once Upon A Time in Mumbaai,"Sultan rules the hearts but tops the wanted list. However, his reign in Mumbai is threatened when his protégé turns overambitious and a bloodbath ensues.",,,0 days 02:08:00,,2010-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
209,S3,A dutiful rowdy cop is deputed to deal with the murder case of a police commissioner. But there's more than what meets the eye.,,,0 days 02:24:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
210,Dharma Durai,"Dharmadurai, an alcoholic, meets his college friend Suhasini who gets him back on his feet. But when his dreaded past returns, his old wounds surface.",,,0 days 01:56:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
211,O Kadhal Kanmani,"Aditya and Tara fall in love and decide on a live-in relationship. However, their perception of marriage changes when they meet an old couple in love.",,,0 days 02:13:00,,2015-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
212,Bhaag Johnny,"In order to save his job, Johnny is asked to murder a beautiful girl by his boss. When he falls in love with her, a 'genie' helps him make the right choice.",,,0 days 01:52:00,,2015-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
213,Maayakumari,"A filmmaker plans a biopic on the mystical yet legendary actress Maayakumari. As the shoot begins, he reflects on her stardom and mysterious disappearance.",,,0 days 02:21:00,,2023-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
214,Saat Uchakkey,"Seven crooks in old Delhi earn their living by coning people. When they set out for a big heist in a old palace, things take a hilarious turn for the worst.",,,0 days 02:10:00,,2016-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
215,Baghban,Elderly couple Raj and Priya wish for their children to take care of them. But what they got in return was a lot of pain.,,,0 days 02:50:00,,2003-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
216,Khichdi The Movie,Himanshu and Parminder are all set to tie the knot but things go hilariously wrong when he tries adding adventure to his love story.,,,0 days 01:51:00,,2010-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
217,Dookudu,"Tough cop Ajay, the son of an MLA, sets out to hunt Nayak and other criminals. But he has to do so without letting his father know about the dangers involved.",,,0 days 02:47:00,,2011-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
218,Welcome Home,Professor Saudamini is thrust into turmoil after she decides to veer from her crumbling marriage. What follows is her journey as she grapples with her decision.,,,0 days 02:03:00,,2019-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
219,Adanga Maru,A righteous cop's career and personal life turn catastrophic after he locks horns with a few influential people. But he's had enough and decides to fight back.,,,0 days 02:24:00,,2018-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
220,C/o Surya,Best friends Surya and Mahesh happily run their catering business. But fate has other plans when they are caught in the middle of a crime ring.,,,0 days 01:46:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
221,Aksar,"Bound by an expensive pre-nuptial agreement, Rajveer cannot divorce his wife Sheena. Things go awry when he hires Vicky, a womaniser, to get rid of his wife.",,,0 days 01:33:00,,2006-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
222,Kali,"Sidharth has anger-management issues. One scary night, his short temper just may land him and his wife in serious trouble.",,,0 days 01:50:00,,2016-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
223,Gulmohar,"Batra family has just four days left to vacate their house of 34 years. Amidst the mayhem, uncertainties of the future, insecurities and secrets surface.",,,0 days 02:11:00,,2023-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
224,Rehnaa Hai Terre Dil Mein,"Ready to go to any lengths to win over Reena, Maddy impersonates Rajeev, Reena’s to be fiancé. Will Reena discover the truth?",,,0 days 02:37:00,,2001-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
225,Sotoroi September,"Amid the ever-busy lifestyle of Kolkata, Neel and Labanya’s happiness stands as a facade of a troubled marriage. Will divorce be the only way out?",,,0 days 01:40:00,,2019-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
226,Indru Netru Naalai,"A scientist from 2065 sends a time machine back to 2015, programming it to return within 40 seconds. Things take a hilarious turn when it doesn't come back.",,,0 days 02:18:00,,2015-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
227,Masaan,An intertwined tale of a girl caught making out in a hotel and a young low-caste boy falling in love with an upper-class girl. What's in store for them?,,,0 days 01:37:00,,2015-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
228,Villah,Can art foretell the future? A novelist inherits a villa full of his artist father's paintings that begin making ominous predictions.,,,0 days 01:38:00,,2013-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
229,24 Ghante in Chennai,"The lives of a superstar, a doctor and a journalist are in the hands of a traffic police inspector and their city.",,,0 days 01:29:00,,2013-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
230,8 Thottakal,"Sathya, an honest cop, accidentally loses his loaded service pistol. When Murthy, a suspended constable with a dark past, finds it he goes on a killing spree.",,,0 days 02:07:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
231,Bade Miyan Chote Miyan,"Unaware that their lookalikes are using their identities for petty thefts, honest cops Arjun Singh and Pyare Mohan are baffled. Can they catch the duplicates?",,,0 days 02:20:00,,1998-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
232,Lootera,"Unaware of Varun’s intentions, Pakhi decides to marry him. Left at the altar, she must face his harsh truth.",,,0 days 02:13:00,,2013-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
233,Meaghamann,An undercover agent is assigned to expose a drug racket and make a wanted drug lord come out of hiding. Will he succeed?,,,0 days 02:10:00,,2014-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
234,Bayama Irukku,"When a group of friends find out that the wife of one of their friend is possessed, they decide to exorcise her!",,,0 days 01:46:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
235,Athadu,"When an innocent person Pardhu dies instead of Nandu, a hitman and ends up at the victim's house, he is mistaken to be Pardhu. How long will the deception last?",,,0 days 02:52:00,,2005-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
236,Action Jackson,"A small-time crook Vishi has just about managed to prove his worth to his beloved, when his professional assassin body double bursts onto the scene.",,,0 days 02:17:00,,2014-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
237,Khel Mandala,"Puppeteer Dasu finds an abandoned girl who is handicapped. He takes on the challenge of bringing her up, but what happens when her parents return for her?",,,0 days 02:03:00,,2011-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
238,Jigar Kaleja,"Things spiral out of control when a mysterious disease ravages a village. Unexpectedly, Raju, a cab driver, becomes a saviour with his supernatural potential.",,,0 days 02:29:00,,2010-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
239,Brahma Janen Gopon Kommoti,"Inspired by her father's work, Sanskrit professor Shabari wants to become a priest! But, will the society let her follow her passion?",,,0 days 02:00:00,,2020-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
240,Guru,"A failed boxer decides to train a young vegetable seller. But, when both the coach and the student have temperament issues, how will they get along?",,,0 days 01:33:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
