id,title,description,release_at,rating
44,JJ+E,"Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?",2021,TV-MA
45,Untold: Breaking Point,"Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court.",2021,TV-MA
46,Untold: Crime & Penalties,"They were the bad boys of hockey — a team bought by a man with mob ties, run by his 17-year-old son, and with a rep for being as violent as they were good.",2021,TV-MA
47,The River Runner,"In this documentary, a kayaker sets out to become the first man to paddle the four great rivers that flow from Tibet's sacred Mount Kailash.",2021,TV-MA
48,Count Me In,This documentary features some of rock's greatest drummers as they come together in an inspiring rhythmic journey about the power of human connection.,2021,TV-MA
49,The Witcher: Nightmare of the Wolf,"Escaping from poverty to become a witcher, Vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past.",2021,TV-MA
50,Man in Love,"When he meets a debt-ridden woman who's caring for her ailing father, a debt collector with a heart of gold sets out to win her love.",2021,TV-MA
51,Black Island,The dark secrets of a seemingly peaceful island threaten to swallow up an orphaned student when he grows close to a mysterious new teacher.,2021,TV-MA
52,Memories of a Murderer: The Nilsen Tapes,Serial killer Dennis Nilsen narrates his life and horrific crimes via a series of chilling audiotapes recorded from his jail cell.,2021,TV-MA
53,Untold: Deal With the Devil,"Christy Martin broke boundaries and noses as she rose in the boxing world, but her public persona belied personal demons, abuse and a threat on her life.",2021,TV-MA
54,Beckett,An American tourist goes on the run in Greece after a tragic accident plunges him into a political conspiracy that makes him a target for assassination.,2021,TV-MA
55,Lokillo: Nothing's the Same,"Through songs and puns, comedian Lokillo Florez hilariously reviews how Latin Americans have adjusted to a new world where no-hugging policies prevail.",2021,TV-MA
56,Untold: Malice at the Palace,"Key figures from an infamous 2004 incident between players and fans at an NBA game in Michigan discuss the fight, its fallout and its lasting legacy.",2021,TV-MA
57,Slay,"In pursuit of both success and validation, a group of tech-savvy individuals juggle intimate encounters, first impressions and romantic opportunities.",2021,TV-MA
58,Aftermath,"Desperate to save their marriage, a young couple takes a deal and moves into their dream home, but disturbing events reveal the house's troubled history.",2021,TV-MA
59,Shiny_Flakes: The Teenage Drug Lord,"Max S. reveals how he built a drug empire from his childhood bedroom in this story that inspired the series ""How to Sell Drugs Online (Fast).""",2021,TV-MA
60,Rurouni Kenshin: The Beginning,"Before he was a protector, Kenshin was a fearsome assassin known as Battosai. But when he meets the gentle Tomoe Yukishiro, his story begins to change.",2021,TV-MA
61,The Last Mercenary,A legendary secret agent-turned-mercenary comes out of hiding to save the son he's never met. Learning how to be a dad may be his toughest mission yet.,2021,TV-MA
62,Bartkowiak,"After his brother dies in a car crash, a disgraced MMA fighter takes over the family nightclub — and soon learns his sibling's death wasn’t an accident.",2021,TV-MA
63,African America,A disgruntled South African woman leaves her fiancé and embezzles money from her job to pursue her dream of being a Broadway star in New York City.,2021,TV-MA
64,Bankrolled,Two directionless millennial bros get high and pitch a bold new social justice app that raises millions. Then they have to come up with the app.,2021,TV-MA
65,Blood Red Sky,"When a group of terrorists hijacks an overnight transatlantic flight, a mysteriously ill woman must unleash a monstrous secret to protect her young son.",2021,TV-MA
66,Kingdom: Ashin of the North,"Tragedy, betrayal and a mysterious discovery fuel a woman's vengeance for the loss of her tribe and family in this special episode of ""Kingdom.""",2021,TV-MA
67,The Last Letter From Your Lover,"After finding a trove of love letters from 1965, a reporter sets out to solve the mystery of a secret affair — while embarking on a romance of her own.",2021,TV-MA
68,9to5: The Story of a Movement,"In this documentary, female office workers in '70s Boston inspire change with a call for better pay, more opportunities and an end to sexual harassment.",2021,TV-MA
